"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"NE.CON.GOVT.ZS","一般政府最终消费支出（占 GDP 的百分比）","一般政府最终消费支出（以前称为一般政府消费）包括政府为购买货物和服务（包括雇员薪酬）而发生的所有经常性支出。还包括国防和国家安全方面的大部分支出，但不包括政府军费支出，该项支出属于政府资本形成。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PETC.CD","居民最终消费支出等（现价美元）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。此项目也包括资源使用量相对于资源供给量的任何统计偏差。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PETC.CN","居民最终消费支出等（现价本币单位）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。此项目也包括资源使用量相对于资源供给量的任何统计偏差。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PETC.KD","居民最终消费支出等（2010年不变价美元）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。此项目也包括资源使用量相对于资源供给量的任何统计偏差。数据以2000 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PETC.KD.ZG","居民最终消费支出等（年增长率）","居民最终消费支出的年增长率基于本币不变价格计算。支出总额基于 2000 年不变价美元。居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。此项目也包括资源使用量相对于资源供给量的任何统计偏差。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PETC.KN","居民最终消费支出等（不变价本币单位）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。此项目也包括资源使用量相对于资源供给量的任何统计偏差。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PETC.ZS","居民最终消费支出等（占 GDP 的百分比）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。此项目也包括资源使用量相对于资源供给量的任何统计偏差。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.CD","居民最终消费支出（现价美元）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.CN","居民最终消费支出（现价本币单位）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.KD","居民最终消费支出（2010年不变价美元）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.KD.ZG","居民最终消费支出（年增长率）","居民最终消费支出的年增长率基于不变价本币。支出总额基于 2005 年不变价美元。居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.KN","居民最终消费支出（不变价本币单位）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.PC.KD","人均居民最终消费支出（2010年不变价美元）","人均居民最终消费支出（人均私人消费）在计算时采用以 2005 年不变价衡量的私人消费和世界银行的人口估计值。居民最终消费支出是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.PC.KD.ZG","人均居民最终消费支出（年增长率）","居民最终消费支出的年增长率基于本币不变价格计算。支出总额基于 2005 年不变价美元。居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。此项目也包括资源使用量相对于资源供给量的任何统计偏差。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.PRVT.PP.CD","按购买力平价 (PPP) 衡量的居民最终消费支出（现价国际美元）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。数据用购买力平价汇率转换为按现价国际元。","世界银行，国际比较项目数据库。",
"NE.CON.PRVT.PP.KD","按购买力平价 (PPP) 衡量的居民最终消费支出（2011 年不变价国际元）","居民最终消费支出（以前称为私人消费）是指居民购买的所有货物和服务（包括耐用品，例如汽车、洗衣机、家用电脑等）的市场价值。不包括购买住房的支出，但包括业主自住房屋的估算租金。也包括为取得许可证和执照向政府支付的费用。此处居民消费支出包括为居民服务的非营利机构的支出，无论国家是否另行公布。数据用购买力平价转换为2011 年不变价国际元。","世界银行，国际比较项目数据库。",
"NE.CON.TETC.CD","最终消费支出等（现价美元）","最终消费支出（以前称为总消费）指居民最终消费支出（私人消费）和一般政府最终消费支出（一般政府消费）之和。此估算包括资源使用量相对于资源供给量的任何统计差异。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TETC.CN","最终消费支出等（不变价本币单位）","最终消费支出（以前称为总消费）是指居民最终消费支出（以前称为私人消费）和一般政府最终消费支出（以前称为一般政府消费）之和。此估算包括资源使用量相对于资源供给量的任何统计差异。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TETC.KD","最终消费支出等（2010年不变价美元）","最终消费支出（以前称为总消费）是指居民最终消费支出（以前称为私人消费）和一般政府最终消费支出（以前称为一般政府消费）之和。此估算包括资源使用量相对于资源供给量的任何统计差异。数据以2005年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TETC.KD.ZG","最终消费支出等（年增长率）","基于不变价本币的最终消费支出的年均增长率。总额计算基于2005 年不变价美元。最终消费支出（以前称为总消费）指居民最终消费支出（以前称为私人消费）和一般政府最终消费支出（以前称为一般政府消费）之和。此估算包括资源使用量相对于资源供给量的任何统计差异。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TETC.KN","最终消费支出等（不变价本币单位）","最终消费支出（以前称为总消费）是指居民最终消费支出（以前称为私人消费）和一般政府最终消费支出（以前称为一般政府消费）之和。此估算包括资源使用量相对于资源供给量的任何统计差异。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TETC.ZS","最终消费支出等（占 GDP 的百分比）","最终消费支出（以前称为总消费）指居民最终消费支出（私人消费）和一般政府最终消费支出（一般政府消费）之和。此估算包括资源使用量相对于资源供给量的任何统计差异。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TOTL.CD","最终消费支出（现价美元）","最终消费支出（以前称为总消费）指居民最终消费支出（私人消费）和一般政府最终消费支出（一般政府消费）之和。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TOTL.CN","最终消费支出（现价本币单位）","最终消费支出（以前称为总消费）指居民最终消费支出（私人消费）和一般政府最终消费支出（一般政府消费）之和。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TOTL.KD","最终消费支出（2010年不变价美元）","最终消费支出（以前称为总消费）是指居民最终消费支出（以前称为私人消费）和一般政府最终消费支出（以前称为一般政府消费）之和。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.CON.TOTL.KN","最终消费支出（不变价本币单位）","最终消费支出（以前称为总消费）是指居民最终消费支出（以前称为私人消费）和一般政府最终消费支出（以前称为一般政府消费）之和。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.DAB.DEFL.ZS","国民总支出平减指数（各国基准年有所不同）","国民总支出（以前称为国内吸收）是指居民最终消费支出（以前称为私人消费）、一般政府最终消费支出（以前称为一般政府消费）以及资本形成总额（以前称为国内投资总额）之和。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.DAB.TOTL.CD","国民总支出（现价美元）","国民总支出（以前称为国内吸收）是指居民最终消费支出（以前称为私人消费）、一般政府最终消费支出（以前称为一般政府消费）以及资本形成总额（以前称为国内投资总额）之和。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.DAB.TOTL.CN","国民总支出（现价本币单位）","国民总支出（以前称为国内吸收）是指居民最终消费支出（以前称为私人消费）、一般政府最终消费支出（以前称为一般政府消费）以及资本形成总额（以前称为国内投资总额）之和。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.DAB.TOTL.KD","国民总支出（2010年不变价美元）","国民总支出（以前称为国内吸收）是指居民最终消费支出（以前称为私人消费）、一般政府最终消费支出（以前称为一般政府消费）以及资本形成总额（以前称为国内投资总额）之和。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.DAB.TOTL.KN","国民总支出（不变价本币单位）","国民总支出（以前称为国内吸收）是指居民最终消费支出（以前称为私人消费）、一般政府最终消费支出（以前称为一般政府消费）以及资本形成总额（以前称为国内投资总额）之和。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.DAB.TOTL.ZS","国民总支出（占 GDP 的百分比）","国民总支出（以前称为国内吸收）是指居民最终消费支出（以前称为私人消费）、一般政府最终消费支出（以前称为一般政府消费）以及资本形成总额（以前称为国内投资总额）之和。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.EXP.GNFS.CD","货物和服务出口（现价美元）","货物和服务出口是指向世界其他国家供应的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.EXP.GNFS.CN","货物和服务出口（现价本币单位）","货物和服务出口是指向世界其他国家供应的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.EXP.GNFS.KD","货物和服务出口（2010年不变价美元）","货物和服务出口是指向世界其他国家供应的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.EXP.GNFS.KD.ZG","货物和服务出口（年增长率）","货物和服务出口年增长率基于不变价本币。总额的计算基于2005 年不变价美元。货物和服务出口是指向世界其他国家供应的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.EXP.GNFS.KN","货物和服务出口（按不变价本币单位）","货物和服务出口是指向世界其他国家供应的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.EXP.GNFS.ZS","货物和服务出口（占 GDP 的百分比）","货物和服务出口是指向世界其他国家供应的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FPRV.CN","固定资本形成总额（现价本币单位）","私人投资包含私营部门（包括私人非营利机构）对其国内固定资产增加部分的支出总额。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FPRV.ZS","固定资本形成总额，私营部门（占 GDP 的百分比）","私人投资包含私营部门（包括私人非营利机构）对其国内固定资产增加部分的支出总额。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FTOT.CD","固定资本形成总额现价美元）（现价美元）","固定资本形成总额（以前称为国内固定投资总额）包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FTOT.CN","固定资本形成总额（按现价本币）","固定资本形成总额（以前称为国内固定投资总额）包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FTOT.KD","固定资本形成总额（2010年不变价美元）","固定资本形成总额（以前称为国内固定投资总额）包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FTOT.KD.ZG","固定资本形成总额（年增长率）","固定资本形成总额年增长率的计算基于不变价本币。总额计算基于2005年不变价美元。固定资本形成总额（以前称为国内固定投资总额）包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FTOT.KN","固定资本形成总额（不变价本币单位）","固定资本形成总额（以前称为国内固定投资总额）包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.FTOT.ZS","固定资本形成总额（占 GDP 的百分比）","固定资本形成总额（以前称为国内固定投资总额）包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.STKB.CD","库存变化（现价美元）","库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.STKB.CN","库存变化（现价本币单位）","库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.STKB.KN","库存变化（不变价本币单位）","库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.TOTL.CD","资本形成总额（现价美元）","资本形成总额（以前称为国内投资总额）由新增固定资产支出加上库存的净变动值构成。固定资产包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.TOTL.CN","资本形成总额（不变价本币单位）","资本形成总额（以前称为国内投资总额）由新增固定资产支出加上库存的净变动值构成。固定资产包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.TOTL.KD","资本形成总额（2010年不变价美元）","资本形成总额（以前称为国内投资总额）由新增固定资产支出加上库存的净变动值构成。固定资产包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.TOTL.KD.ZG","资本形成总额（年增长率）","资本形成总额年增长率的计算基于不变价本币。总额计算基于2005 年不变价美元。资本形成总额（以前称为国内投资总额）由经济体的新增固定资产支出加上库存的净变动构成。固定资产包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.TOTL.KN","资本形成总额（不变价本币单位）","资本形成总额（以前称为国内投资总额）由新增固定资产支出加上库存的净变动值构成。固定资产包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.GDI.TOTL.ZS","资本形成总额（占 GDP 的百分比）","资本形成总额（以前称为国内投资总额）由新增固定资产支出加上库存的净变动值构成。固定资产包括土地改良（围栏、水渠、排水沟等）；厂房、机器和设备的购置；建设公路、铁路以及学校、办公室、医院、私人住宅和工商业建筑等。库存是企业为应付生产或销售的临时需要或意外波动而贮存的货物，以及在制品。依照 1993 年 SNA，贵重物品的净收入也被视为资本形成。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.IMP.GNFS.CD","货物和服务进口（现价美元）","货物和服务进口是指从世界其他国家获得的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.IMP.GNFS.CN","货物和服务进口（现价本币单位）","货物和服务进口是指从世界其他国家获得的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.IMP.GNFS.KD","货物和服务进口（2010年不变价美元）","货物和服务进口是指从世界其他国家获得的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据以2005 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.IMP.GNFS.KD.ZG","货物和服务进口（年增长率）","基于不变价本币的货物和服务进口年增长率。总额的计算基于2005年不变价美元。货物和服务进口是指从世界其他国家获得的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.IMP.GNFS.KN","货物和服务进口（不变价本币单位）","货物和服务进口是指从世界其他国家获得的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.IMP.GNFS.ZS","货物和服务进口（占 GDP 的百分比）","货物和服务进口是指从世界其他国家获得的所有货物和其他市场服务的价值。其包括商品、货运、保险、运输、旅游、版税、特许权费，以及通讯、建筑、金融、信息、商务、个人和政府服务等其他服务。雇员薪酬和投资收入（以前称要素服务）和转移支付不包括在内。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.RSB.GNFS.CD","货物和服务对外贸易差额现价美元）（现价美元）","货物和服务对外贸易差额（以前称为资源差额）等于货物和服务出口额减去货物和服务（以前称为非要素性服务）进口额。数据按现价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.RSB.GNFS.CN","货物和服务对外贸易差额（现价本币单位）","货物和服务对外贸易差额（以前称为资源差额）等于货物和服务出口额减去货物和服务（以前称为非要素性服务）进口额。数据按当地货币不变价格计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.RSB.GNFS.KN","货物和服务对外贸易差额（不变价本币单位）","货物和服务对外贸易差额（以前称为资源差额）等于货物和服务出口额减去货物和服务（以前称为非要素性服务）进口额。数据以本币不变价计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.RSB.GNFS.ZS","货物和服务对外贸易差额（占 GDP 的百分比）","货物和服务对外贸易差额（以前称为资源差额）等于货物和服务出口额减去货物和服务（以前称为非要素性服务）进口额。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NE.TRD.GNFS.ZS","贸易额（占国民生产总值（GDP）比例）","贸易额是指货物和服务的进出口额在国民生产总值中的份额。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NV.AGR.TOTL.CD","农业，增加值（现价美元）","农业对应《国际标准行业分类》第 1-5 项，包括林业、狩猎和渔业以及作物耕种和畜牧生产。增加值为所有产出相加再减去中间投入得出的部门的净产出。这种计算方法未扣除装配式资产的折旧或自然资源的损耗和退化。增加值的来源根据《国际标准行业分类》第3修订版确定。数据按现价美元计计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NV.AGR.TOTL.CN","农业，增加值（现价本币单位）","农业对应《国际标准行业分类》第 1-5 项，包括林业、狩猎和渔业以及作物耕种和畜牧生产。增加值为所有产出相加再减去中间投入得出的部门的净产出。这种计算方法未扣除装配式资产的折旧或自然资源的损耗和退化。增加值的来源根据《国际标准行业分类》修订本第3版确定。数据按现价本币计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
"NV.AGR.TOTL.KD","农业，增加值（2010年不变价美元）","农业对应《国际标准行业分类》第 1-5 项，包括林业、狩猎和渔业以及作物耕种和畜牧生产。增加值为所有产出相加再减去中间投入得出的部门的净产出。这种计算方法未扣除装配式资产的折旧或自然资源的损耗和退化。增加值的来源根据《国际标准行业分类》修订本第3版确定。数据按2000 年不变价美元计。","世界银行国民经济核算数据，以及经济合作与发展组织 国民经济核算数据文件。",
